movieId,title,genres,year,movieTitle,imdb_url,cover_url
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995.0,Toy Story (1995),https://www.imdb.com/title/tt0114709,https://m.media-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@.jpg
2,Jumanji,Adventure|Children|Fantasy,1995.0,Jumanji (1995),https://www.imdb.com/title/tt0113497,https://m.media-amazon.com/images/M/MV5BZTk2ZmUwYmEtNTcwZS00YmMyLWFkYjMtNTRmZDA3YWExMjc2XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
3,Grumpier Old Men,Comedy|Romance,1995.0,Grumpier Old Men (1995),https://www.imdb.com/title/tt0113228,https://m.media-amazon.com/images/M/MV5BMjQxM2YyNjMtZjUxYy00OGYyLTg0MmQtNGE2YzNjYmUyZTY1XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
4,Waiting to Exhale,Comedy|Drama|Romance,1995.0,Waiting to Exhale (1995),https://www.imdb.com/title/tt0114885,https://m.media-amazon.com/images/M/MV5BYzcyMDY2YWQtYWJhYy00OGQ2LTk4NzktYWJkNDYwZWJmY2RjXkEyXkFqcGdeQXVyMTA0MjU0Ng@@.jpg
5,Father of the Bride Part II,Comedy,1995.0,Father of the Bride Part II (1995),https://www.imdb.com/title/tt0113041,https://m.media-amazon.com/images/M/MV5BOTEyNzg5NjYtNDU4OS00MWYxLWJhMTItYWU4NTkyNDBmM2Y0XkEyXkFqcGdeQXVyMTQxNzMzNDI@.jpg
6,Heat,Action|Crime|Thriller,1995.0,Heat (1995),https://www.imdb.com/title/tt0113277,https://m.media-amazon.com/images/M/MV5BYjZjNTJlZGUtZTE1Ny00ZDc4LTgwYjUtMzk0NDgwYzZjYTk1XkEyXkFqcGdeQXVyNjU0OTQ0OTY@.jpg
7,Sabrina,Comedy|Romance,1995.0,Sabrina (1995),https://www.imdb.com/title/tt0114319,https://m.media-amazon.com/images/M/MV5BYjQ5ZjQ0YzQtOGY3My00MWVhLTgzNWItOTYwMTE5N2ZiMDUyXkEyXkFqcGdeQXVyNjUwMzI2NzU@.jpg
8,Tom and Huck,Adventure|Children,1995.0,Tom and Huck (1995),https://www.imdb.com/title/tt0112302,https://m.media-amazon.com/images/M/MV5BN2ZkZTMxOTAtMzg1Mi00M2U0LWE2NWItZDg4YmQyZjVkMDdhXkEyXkFqcGdeQXVyNTM5NzI0NDY@.jpg
9,Sudden Death,Action,1995.0,Sudden Death (1995),https://www.imdb.com/title/tt0114576,https://m.media-amazon.com/images/M/MV5BYWEyODkwYTItZDI1ZC00ODhiLWFkNGMtMTU3NTk2ZGMxYjE3XkEyXkFqcGdeQXVyMjUzOTY1NTc@.jpg
10,GoldenEye,Action|Adventure|Thriller,1995.0,GoldenEye (1995),https://www.imdb.com/title/tt0113189,https://m.media-amazon.com/images/M/MV5BOWI0MTJlMjEtYTI0ZS00NWZiLWE1ZmItYzBlZTE5YTk3NTJiXkEyXkFqcGdeQXVyMTEwNDU1MzEy.jpg
